"Name","Category","Accounting Code","Item Count","On Inventory","Tax Exempt","Report By Unit","Latest Price"
"Farmers Reserve Gin","Liquor Cost","","1","Yes","No","750 Milliliters","$25.00"
"Ferrari Carano Chardonnay","Wine Cost","","1","No","No","Bottle","$12.50"
"Finger Cot  Fngrtip 2  Bag Blu","Office Supplies","","1","No","No","Each","$13.44"
"Fingercot Blue Nitrile Latexfr","Paper and Disposables","","1","No","No","50 Each","$7.71"
"Fireball Cinnamon Whisky","Liquor Cost","","3","Yes","No","Bottle (Liter)","$16.50"
"Fl Annual Report Filing Fee Paid By Kbfm","Dues & Subscriptions","","1","No","No","Other","$138.75"
"Flat Rate/ Hourly Charge","Repairs & Maintenance","","1","No","No","Other","$120.00"
"Flour, All Purpose","Grocery and Dry Goods","","6","Yes","No","Pound","$0.45"
"Foil Alum 18X500 Heavy Roll","Paper and Disposables","","1","No","No","Each","$41.75"
"Fords Gin","Liquor Cost","","1","Yes","No","Bottle (Liter)","$18.85"
"Fork Dnnr Domn 18 0 S S Mw","Tableware & Smallwares","","1","No","No","3 Dozens","$14.52"
"Fortaleza Blanco Tequila","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$44.10"
"French Fries","Grocery and Dry Goods","","6","No","No","Pound","$1.81"
"French Fries, Curly","Grocery and Dry Goods","","1","Yes","No","Pound","$2.65"
"French Fries, Sweet Potato","Grocery and Dry Goods","","1","Yes","No","Pound","$3.45"
"French Fries, Sweet Potato Cheney","Grocery and Dry Goods","","4","Yes","No","Pound","$3.25"
"Fryer, Electric, Floor Model, 40LB Capacity, Immersed, Electrical Elements, Snap Action Thermostat","Kitchen Supplies","","1","No","No","Each","$2,332.00"
"Fuel  Stove Crtrg 2 Hr Butne","Kitchen Supplies","","1","No","No","12 Each","$48.05"
"Full Deep Cleaning","Repairs & Maintenance","","1","No","No","Other","$1,250.00"
"Gardener Services- Growing Season - Detailed, cleaned, pruned, and treated bed weeds for over growth throughout property","Repairs & Maintenance","","1","No","No","Other","$850.00"
"Garlic, Minced","Produce","","1","Yes","No","Pound","$6.46"
"Gatorade Grape 20oz Bottle","N/A Beverage Cost","","1","No","No","Bottle","$1.61"
"Gearbox California Pinot Noir","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$8.00"
"Gift Card Program Monthly Subscription - Toast Inc","Dues & Subscriptions","","1","No","No","Other","$50.00"
"Gildan 4.5 OZ Cotton Tee LG","Merchandise Cost","","1","No","No","Each","$8.03"
"Gildan 4.5 OZ Cotton Tee M","Merchandise Cost","","1","No","No","Each","$8.03"
"Gildan 4.5 OZ Cotton Tee S","Linens & Uniform Cost","","1","No","No","Each","$8.03"
"Gildan 4.5 OZ Cotton Tee XL","Linens & Uniform Cost","","1","No","No","Each","$8.03"
"Gildan 4.5 OZ Cotton Tee XS","Linens & Uniform Cost","","1","No","No","Each","$8.03"
"Gildan 4.5 OZ Cotton Tee XXL","Linens & Uniform Cost","","1","No","No","Each","$9.68"
"Gildan 4.5 OZ Cotton Tee XXXL","Linens & Uniform Cost","","1","No","No","Each","$10.91"
"Gildan Softstyle Tank Top","Linens & Uniform Cost","","1","No","No","Each","$12.80"
"Gildan Softstyle Tank Top - 64200_2X","Linens & Uniform Cost","","1","No","No","Each","$13.64"
"Gildan4.5OZ. Cotton Tee","Linens & Uniform Cost","","1","No","No","Each","$6.31"
"Ginger Ale 8oz","N/A Beverage Cost","","1","No","No","Can (Can)","$0.42"
"Ginger Ale BIB","N/A Beverage Cost","","2","Yes","No","Gallon","$27.16"
"Ginger Beer 12oz Bottle","N/A Beverage Cost","","1","No","No","Bottle","$1.38"
"Ginger Beer 12oz Can","N/A Beverage Cost","","1","Yes","No","Can","$1.01"
"Ginger, Fresh","Produce","","2","No","No","Oz (Ounce)","$0.23"
"Ginger, Pickled","Grocery and Dry Goods","","1","Yes","No","Pound","$10.40"
"Glass Wine Pet 10OZ Stemless","Tableware & Smallwares","","1","No","No","64 Each","$91.25"
"Glenglassaugh 12yr Highland Single Malt Scotch","Liquor Cost","","1","Yes","No","Bottle (700 Milliliters)","$21.17"
"Glove  Ntrle Med Pf Blk Ambdx","Paper and Disposables","","1","No","No","1000 Each","$62.65"
"Glove Nitrile Black Med Pf","Paper and Disposables","","1","No","No","1000 Each","$39.99"
"Glove Nitrile Fdsrv Pf Blk Sml","Paper and Disposables","","1","No","No","1000 Each","$41.00"
"Glove Nitrile Fdsrv Pf Blk Xl","Paper and Disposables","","1","No","No","1000 Each","$89.29"
"Glove, Ntrle Xl Pf Blk Ambdx","Paper and Disposables","","1","No","No","100 Each","$51.60"
"Gloves, Black Medium Nitr","Paper and Disposables","","1","No","No","1000 Each","$37.00"
"Gloves, Black Xlrg Nitril","Paper and Disposables","","1","No","No","1000 Each","$37.00"
"Goose Island IPA Keg (1/6BBL)","Beer Cost","","1","Yes","No","Keg (1/6BBL) 5.16GAL","$66.13"
"Grace Trap-Roto-Rooter Sewer & Drain Cleaning","Repairs & Maintenance","","1","No","No","Other","$699.00"
"Gran Gala Orange Liqueur","Liquor Cost","","1","Yes","No","Bottle (Liter)","$15.00"
"Grand Marnier","Liquor Cost","","1","Yes","No","Bottle (Liter)","$38.00"
"Grapefruit, Fresh","Produce","","1","No","No","Each","$2.45"
"Graphic Work","Advertising & Marketing","","1","No","No","Other","$200.00"
"Grated Ginger","Grocery and Dry Goods","","0","Yes","No","Oz (Ounce)","$0.34"
"Grayton 30A Beach Blonde Ale Keg (1/6BBL)","Beer Cost","","1","No","No","Keg (1/6BBL) 5.16GAL","$89.00"
"Grayton 30A Beach Blonde Keg (1/2BBL)","Beer Cost","","1","Yes","No","Keg (1/2BBL) 15.5GAL","$200.00"
"Grayton Beach 30A Rose 12oz Can","Beer Cost","","1","Yes","No","Can (12 Cans)","$1.41"
"Grayton Beach Blonde 12oz Can","Beer Cost","","1","Yes","No","Can (12 Fluid Ounces)","$1.54"
"Grayton Ipa 12oz Can","Beer Cost","","1","Yes","No","Can (12 Fluid Ounces)","$1.54"
"Grenadine","N/A Beverage Cost","","3","Yes","No","Bottle","$4.00"
"Grey Goose Vodka","Liquor Cost","","2","Yes","No","Bottle (750 Milliliters)","$34.25"
"Griddle Screen  4x5.5 Sythc","Cleaning Supplies","","1","No","No","200 Each","$67.01"
"Grill Screen Holder","Cleaning Supplies","","1","No","No","Each","$18.00"
"Grouper, Fillet","Seafood","","3","Yes","No","Pound","$21.99"
"Hamburger - Stress Reliever","Merchandise Cost","","1","No","No","Each","$2.37"
"Hamburger Key Chain Stress Reliever","Merchandise Cost","","1","No","No","Each","$1.91"
"Handheld Monthly Software Subscription- Toast Inc.","Dues & Subscriptions","","1","No","No","Other","$590.00"
"Handle Layflat Fiberglass","Paper and Disposables","","1","No","No","Each","$14.25"
"Hdmi 4K Extender Kit","R & M","","1","No","No","Each","$599.95"
"Hdmi Splitter 1x2","R & M","","1","No","No","Each","$126.95"
"HeaNavy Gildan 4.5 oz. Cotton Tee LG","Linens & Uniform Cost","","1","No","No","Each","$10.95"
"Heanavy Gildan Soft style T-Shirt_Xs","Linens & Uniform Cost","","1","No","No","Each","$7.51"
"HeaNavy Gildan Softstyle T-Shirt","Linens & Uniform Cost","","1","No","No","Each","$7.51"
"HeaNavy Gildan Softstyle T-Shirt_2X","Linens & Uniform Cost","","1","No","No","Each","$8.93"
"Heat Lamp Bulb, for Ehl-2,250 Watt, Clear","R & M","","1","No","No","Each","$15.89"
"Heavy Cream","Dairy","","2","Yes","No","Quart","$5.50"
"Hendrick's Gin","Liquor Cost","","1","Yes","No","Bottle (Liter)","$36.75"
"Herradura Anejo Tequila","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$44.10"
"Herradura Blanco Tequila","Liquor Cost","","1","Yes","No","Bottle (700 Milliliters)","$33.00"
"Herradura Legend Anejo Tequila","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$82.80"
"Herradura Reposado Tequila","Liquor Cost","","1","Yes","No","Bottle (Liter)","$30.44"
"Herradura Silver Tequila","Liquor Cost","","1","Yes","No","Bottle (Liter)","$30.44"
"Herradura Ultra Anejo Tequila","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$46.79"
"High Noon Peach Vodka Soda 12oz Can","Liquor Cost","","1","Yes","No","Can","$1.60"
"High Noon Pineapple Vodka Soda 12oz Can","Liquor Cost","","2","Yes","No","Can","$1.65"
"High Noon Vodka Grapefruit Seltzer 12oz Can","Liquor Cost","","1","Yes","No","Can (355 Milliliters)","$1.60"
"High Noon Watermelon Vodka Soda 12oz Can","Liquor Cost","","1","Yes","No","Can","$1.65"
"High Rise Blood Orange","Beer Cost","","0","Yes","No","Can (12 Fluid Ounces)","$3.06"
"High Rise D9 Pineapple THC Seltzer 12oz Can","Beer Cost","","1","No","No","Can (12 Fluid Ounces)","$2.85"
"High Rise Pineapple","Beer Cost","","0","Yes","No","Can (12 Fluid Ounces)","$3.06"
"Honey","Grocery and Dry Goods","","2","Yes","No","Honey (5 Pounds)","$21.00"
"Hood & Duct Cleaing","R & M","","1","No","No","Other","$475.00"
"Hood & Duct Cleaning","R & M","","1","No","No","Other","$495.00"
"Hood and Duct Cleaning","Repairs & Maintenance","","1","No","No","Other","$475.00"
"Hooter Brown","Beer Cost","","0","No","No","Keg (Keg (1/4BBL) 7.75GAL)","$129.00"
"Horseradish, Prepared","Grocery and Dry Goods","","1","No","No","Gallon","$22.92"
"Hot Chocolate","N/A Beverage Cost","","0","Yes","No","Each","$1.90"
"Ice Machine Cleaner & Sanitizer","Repairs & Maintenance","","1","No","No","Each","$70.00"
"Idyll Hands Joe Coffee Keg (1/6BBL)","Beer Cost","","1","Yes","No","Keg (1/6BBL) 5.16GAL","$91.00"
"Idyll Hounds Batch 500 Keg (1/6BBL)","Beer Cost","","1","Yes","No","Keg (1/6BBL) 5.16GAL","$102.00"
"Idyll Hounds Oktoberfest Keg(1/6BBL)","Beer Cost","","1","No","No","Keg (1/6BBL) 5.16GAL","$85.00"
"Imperial - The Wingman Cap","Linens & Uniform Cost","","0","No","No","Each","$18.50"
"Imperial - The Wingman Cap - 7054","Linens & Uniform Cost","","2","No","No","Each","$18.50"
"Imperial - The Wrightson Cap","Linens & Uniform Cost","","1","No","No","Each","$18.50"
"Imperial - The Wrightson Cap - 5054 (S)","Linens & Uniform Cost","","1","No","No","Each","$18.50"
"Install Wood Transitions","Repairs & Maintenance","","1","No","No","Other","$125.00"
"Installation Charges - Advantage HPE","R & M","","1","No","No","Other","$602.03"
"IPA","Beer Cost","","0","No","No","Keg (1/4BBL) 7.75GAL","$129.00"
"Jack Daniel's Black Label Whiskey","Liquor Cost","","2","Yes","No","Bottle (Liter)","$27.77"
"Jack Daniels Blackberry","Liquor Cost","","1","Yes","No","Bottle (Liter)","$36.70"
"Jacob's Creek Moscato 2022","Wine Cost","","0","No","No","Bottle (750 Milliliters)","$5.25"
"Jagermeister","Liquor Cost","","1","Yes","No","Bottle (Liter)","$22.25"
"Jameson Irish Whiskey","Liquor Cost","","1","Yes","No","Bottle (Liter)","$38.66"
"Jim Beam Bourbon","Liquor Cost","","1","Yes","No","Bottle (Liter)","$20.50"
"Job Charges","Repairs & Maintenance","","1","No","No","Other","$310.00"
"Jrt Toilet Paper","Paper and Disposables","","1","No","No","Each","$24.75"
"Juice, Blood Orange","N/A Beverage Cost","","1","No","No","Bottle (32 Fluid Ounces)","$6.44"
"Juice, Blood Orange 16oz","N/A Beverage Cost","","1","Yes","No","Each","$3.71"
"Juice, Cranberry","N/A Beverage Cost","","5","Yes","No","Bottle (Gallon)","$9.00"
"Juice, Cucumber Lime 64oz","N/A Beverage Cost","","1","Yes","No","Each","$20.00"
"Juice, Grapefruit","N/A Beverage Cost","","3","Yes","No","Each","$3.50"
"Juice, Guava Lemonade 16oz","N/A Beverage Cost","","1","No","No","Bottle","$2.21"
"Juice, Lemon","Grocery and Dry Goods","","2","Yes","No","Gal (Gallon)","$13.33"
"Juice, Lime","Grocery and Dry Goods","","2","Yes","No","Quart","$3.39"
"Juice, Olive","N/A Beverage Cost","","1","Yes","No","Bottle","$8.25"
"Juice, Orange","N/A Beverage Cost","","4","Yes","No","0.5 Gallons","$6.54"
"Juice, Orange 32oz","N/A Beverage Cost","","1","Yes","No","32 Fluid Ounces","$3.30"
"Juice, Orange 46oz","N/A Beverage Cost","","1","Yes","No","Bottle","$6.27"
"Juice, Orange 52oz","N/A Beverage Cost","","2","No","No","Each","$5.46"
"Juice, Orange 56OZ","N/A Beverage Cost","","1","Yes","No","Each","$7.66"
"Juice, Orange Pineapple","N/A Beverage Cost","","1","No","No","Each","$2.79"
"Juice, Pineapple","N/A Beverage Cost","","8","Yes","No","Each","$3.98"
"Juice, Pomegranate 64oz","N/A Beverage Cost","","1","Yes","No","Each","$20.00"
"Juice, Tomato","Grocery and Dry Goods","","1","No","No","Each","$2.35"
"Justin Cabernet Sauvignon","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$19.00"
"Keg Deposit - At Purchase $50","Beer Cost","","3","Yes","No","Each","$50.00"
"Keg Deposit - At Return $50","Beer Cost","","2","No","No","Each","$50.00"
"Ketchup, Bottle","Grocery and Dry Goods","","8","Yes","No","Bottle","$2.50"
"Ketchup, Bulk","Grocery and Dry Goods","","1","Yes","No","Pound (Pound)","$0.57"
"Ketchup, Packets","Grocery and Dry Goods","","4","Yes","No","Case","$50.63"
"Kit Ctly K-f-s Hw Blk Plyst","Paper and Disposables","","1","No","No","250 Each","$25.69"
"Kit Ctly S P K-f-s Nap Hw Blk","Paper and Disposables","","1","No","No","250 Each","$37.29"
"Kit Cutlery Fks/sp/np Hw Pp Bk","Paper and Disposables","","1","No","No","250 Each","$29.71"
"Kitchen Display Screen Monthly Subscription - Toast Inc","Dues & Subscriptions","","1","No","No","Other","$50.00"
"Kleen Plug Use To Keep Beer Taps Clean","Cleaning Supplies","","1","No","No","Pack","$24.51"
"Knife  Dnnr Domn 18 0 S S Wavy","Tableware & Smallwares","","1","No","No","Dozen","$11.02"
"Knife Service - Cozzini Bros. Inc.","R & M","","1","No","No","Other","$40.00"
"Knife Service - Cozzini Bros., Inc.","R & M","","1","No","No","Other","$40.00"
"Kona Big Wave 12oz Can","Beer Cost","","1","Yes","No","Can (12 Fluid Ounces)","$1.37"
"Kona Big Wave Keg (1/6BBL)","Beer Cost","","1","Yes","No","Keg (1/6BBL) 5.16GAL","$80.13"
"KR-PCS Knife Service - Cozzini Bros., Inc.","R & M","","1","No","No","Other","$8.00"
"Label Roll Unvrsl Plas 2x3","Paper and Disposables","","1","No","No","500 Each","$22.29"
"Label Roll Use Frst 2 Tril","Paper and Disposables","","1","No","No","500 Each","$11.85"
"Labor & Materials - Hufham Farris Construction","Construction Expenses","","1","No","No","Other","$13,002.00"
"Labor Charge-Wattsound","R & M","","1","No","No","Other","$135.00"
"Labor Charges","Meals & Entertainment","","1","No","No","Other","$100.00"
"Labor Charges - 2","Repairs & Maintenance","","1","No","No","Other","$345.00"
"Labor Charges - REMCO","Repairs & Maintenance","","1","No","No","Other","$165.00"
"Labor Charges - TV Pros","Repairs & Maintenance","","1","No","No","Other","$100.00"
"Labor Charges-The Green Air Group,LLC","Repairs & Maintenance","","1","No","No","Other","$375.00"
"Large House Salad","Meals & Entertainment","","1","No","No","Each","$8.00"
"Large-In-Ground Bayonet Deluxe Pole Stand - 2.3/4"" Tube (70mm)","R & M","","1","No","No","Each","$222.00"
"Lawn Maintenance Charges","Repairs & Maintenance","","1","No","No","Other","$510.00"
"Legislative Fee","Dues & Subscriptions","","1","No","No","Other","$98.00"
"Lemonade 20oz Bottle","N/A Beverage Cost","","1","No","No","Bottle","$1.68"
"Lemonade BIB","N/A Beverage Cost","","2","Yes","No","Gallon","$24.67"
"Lemons, Fresh","Produce","","7","Yes","No","Pound","$2.30"
"Lettuce, Bibb","Produce","","2","Yes","No","Each","$2.85"
"Lettuce, Green Leaf","Produce","","1","No","No","Pound","$6.30"
"Lettuce, Shredded","Produce","","3","Yes","No","Pound","$1.36"
"Lid Cont Trans Foam Rnd Vented","Paper and Disposables","","1","No","No","1000 Each","$26.50"
"Lid Cup Clr Pet Slot","Paper and Disposables","","1","No","No","1000 Each","$39.75"
"Lid Cup Wht Pet Vented 081099","Paper and Disposables","","1","No","No","1000 Each","$26.50"
"Lid For 2OZ Cup Portion","Paper and Disposables","","1","No","No","2500 Each","$28.25"
"Light Bulb, Heat Lamp 250w Clr","Repairs & Maintenance","","1","No","No","2 Each","$37.29"
"Limes, Fresh","Produce","","5","Yes","No","Pound","$2.15"
"Liner Trash 36x58 .7 Ml Blk","Paper and Disposables","","1","No","No","200 Gallons","$59.75"
"Liner, 55 GAL 38X58 Blk 1.25","Paper and Disposables","","1","No","No","100 Each","$61.53"
"Lit Grill Pilot - REMCO","Repairs & Maintenance","","1","No","No","Other","$110.00"
"Los Sundays Coconut Blanco Tequila","Liquor Cost","","1","No","No","Bottle (750 Milliliters)","$24.00"
"Lvt Daily Floor Clnr","Cleaning Supplies","","1","No","No","4 Each","$61.50"
"Mahi Mahi, Fillet","Seafood","","6","Yes","No","Pound","$9.29"
"Maintenance Staff","Meals & Entertainment","","1","No","No","Other","$200.00"
"Maker's Mark Bourbon","Liquor Cost","","2","Yes","No","Bottle (750 Milliliters)","$27.74"
"Mango, Frozen","Grocery and Dry Goods","","8","Yes","No","Pound","$4.39"
"Marketing Monthly Subscription - Toast Inc.","Dues & Subscriptions","","1","No","No","Other","$75.00"
"Marques De Caceres NV Brut Cava","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$8.00"
"Material Charges","Repairs & Maintenance","","1","No","No","Other","$758.00"
"Material Charges - Wattsound","R & M","","1","No","No","Other","$808.95"
"Materials Charges - Frank Wakefield","R & M","","1","No","No","Other","$20.00"
"Matua Lighter Sauvignon Blanc","Wine Cost","","1","Yes","No","Bottle (750 Milliliters)","$8.49"
"Mayonnaise","Grocery and Dry Goods","","6","Yes","No","Gallon","$11.62"
"Mayonnaise, Bottle","Grocery and Dry Goods","","6","Yes","No","Bottle (18 Ounces)","$5.46"
"Mayonnaise, Packets","Grocery and Dry Goods","","4","Yes","No","Case (Case)","$39.69"
"Mayonnaise, Vegan","Grocery and Dry Goods","","1","Yes","No","Oz (Fluid Ounce)","$0.20"
"Michelob Ultra 12oz Can","Beer Cost","","1","Yes","No","Can","$1.19"
"Michters Us1 Single Barrel Straight Rye Whiskey","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$32.84"
"Milagro Anejo Cristalino Tequila","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$46.60"
"Milagro Reposado Tequila","Liquor Cost","","1","Yes","No","Bottle (Liter)","$27.55"
"Milagro Silver Tequila","Liquor Cost","","1","Yes","No","Bottle (Liter)","$3.90"
"Milk, Whole","Dairy","","1","Yes","No","Gal (Gallon)","$7.50"
"Miller High Life 12oz Can","Beer Cost","","0","Yes","No","Can (12 Fluid Ounces)","$1.02"
"Miller Lite 12oz Can","Beer Cost","","2","Yes","No","Can (12 Fluid Ounces)","$1.33"
"Mint, Fresh","Produce","","2","Yes","No","Pound","$12.90"
"Misc Materials - REMCO","Repairs & Maintenance","","1","No","No","Other","$10.00"
"Misc. Consumables & Supplies","Repairs & Maintenance","","1","No","No","Other","$10.99"
"Misc. Consumables & Supplies - 017 mat","Repairs & Maintenance","","1","No","No","Other","$10.99"
"Misc. Consumables And Supply","Repairs & Maintenance","","1","No","No","Other","$10.99"
"Misc. Consumales & Supplies","Repairs & Maintenance","","1","No","No","Other","$10.99"
"Miscellaneous Charges - Wattsound","R & M","","1","No","No","Other","$77.00"
"Modelo Especial 12oz Can","Beer Cost","","1","No","No","Can","$1.59"
"Mom Water Assorted 12oz Can","Beer Cost","","1","Yes","No","Can (12 Fluid Ounces)","$2.25"
"Mom Water Blueberry Peach 12oz Can","Liquor Cost","","1","Yes","No","Can (12 Fluid Ounces)","$1.55"
"Mom Water Julie","Liquor Cost","","0","Yes","No","Can (12 Fluid Ounces)","$2.25"
"Mom Water Karen","Liquor Cost","","0","Yes","No","Can (12 Fluid Ounces)","$2.25"
"Mom Water Lemon Blueberry 12oz Can","Liquor Cost","","1","Yes","No","Can (12 Fluid Ounces)","$1.55"
"Mom Water Linda","Liquor Cost","","0","Yes","No","Can (12 Fluid Ounces)","$2.25"
"Mom Water Louise Citrus Cucumber 12oz Can","Liquor Cost","","1","Yes","No","Can (12 Fluid Ounces)","$1.55"
"Mom Water Sandy","Liquor Cost","","0","Yes","No","Can (12 Fluid Ounces)","$2.25"
"Mom Water Strawberry Kiwi 12oz Can","Liquor Cost","","1","Yes","No","Can (12 Fluid Ounces)","$1.55"
"Monkey Shoulder Scotch","Liquor Cost","","2","Yes","No","Bottle (750 Milliliters)","$32.14"
"Mont Ice Machine Monthly","Licenses & Fees","","1","No","No","Case","$250.00"
"Monthly Charges","Dues & Subscriptions","","1","No","No","Other","$1,134.75"
"Monthly responsible vendor Program fee","Dues & Subscriptions","","1","No","No","Other","$166.66"
"Mr Boston Peach Schnapps","Liquor Cost","","1","Yes","No","Bottle (Liter)","$6.50"
"Mulch- Pine Straw Per Bale - Install pine straw throughout property","Repairs & Maintenance","","1","No","No","Other","$360.00"
"Mushrooms, Cremini Sliced","Produce","","2","Yes","No","Pound","$3.80"
"Mustard Gallon","Grocery and Dry Goods","","0","Yes","No","Gallon (Gallon)","$5.96"
"Mustard, Creole","Grocery and Dry Goods","","1","Yes","No","Gallon","$5.63"
"Mustard, Dijon","Grocery and Dry Goods","","2","Yes","No","Pound (Pound)","$2.77"
"Mustard, Yellow","Grocery and Dry Goods","","5","Yes","No","Each","$1.79"
"Mustard, Yellow Packets","Grocery and Dry Goods","","3","Yes","No","Case","$37.86"
"Myers's Dark Rum","Liquor Cost","","1","Yes","No","Bottle (Liter)","$19.90"
"Napkin, Dispr Infld Ntrl 1 Ply","Paper and Disposables","","1","No","No","6000 Each","$71.51"
"Nitrile Glv Pf bulk 3mil XL","Paper and Disposables","","1","No","No","Each","$35.00"
"Non Slip Paint","Repairs & Maintenance","","1","No","No","Other","$175.00"
"November '24 Sales Tax Filing","Dues & Subscriptions","","1","No","No","Other","$87.00"
"Oatmeal","Grocery and Dry Goods","","1","Yes","No","Each","$5.04"
"Oats","Grocery and Dry Goods","","1","Yes","No","Oz (Ounce)","$0.12"
"Oil, Butter Flavored","Grocery and Dry Goods","","5","Yes","No","Gallon","$14.94"
"Oil, Canola","Grocery and Dry Goods","","1","Yes","No","Gal (Gallon)","$17.72"
"Oil, Fryer","Grocery and Dry Goods","","10","Yes","No","Case","$32.00"
"Oil, Olive Extra Virgin","Grocery and Dry Goods","","3","Yes","No","Liter","$17.08"
"Oil, Sesame","Grocery and Dry Goods","","1","Yes","No","Pound","$12.24"
"Oil, Truffle White","Grocery and Dry Goods","","2","Yes","No","Oz (Each)","$24.65"
"Okra, Breaded","Grocery and Dry Goods","","5","Yes","No","Pound","$2.74"
"Okra, Pickled","Grocery and Dry Goods","","1","No","No","Gallon","$16.92"
"Olives, Green Stuffed","Grocery and Dry Goods","","2","Yes","No","Gallon","$28.04"
"One Time Maintenance for non-member-Advantage HPE","R & M","","1","No","No","Other","$318.00"
"Onions, Diced","Produce","","2","No","No","Pound","$3.18"
"Onions, Fried","Grocery and Dry Goods","","1","No","No","Pound","$4.90"
"Onions, Green","Produce","","1","Yes","No","2 Pounds (2 Pounds)","$11.65"
"Onions, Red","Produce","","5","Yes","No","Pound","$0.84"
"Onions, Red Sliced","Produce","","2","No","No","Pound","$2.87"
"Onions, Yellow","Produce","","9","Yes","No","Pound","$0.62"
"Onions, Yellow Sliced","Produce","","2","No","No","Pound","$3.70"
"Online Ordering Monthly Subscription - Toast Inc","Dues & Subscriptions","","1","No","No","Other","$75.00"
"Oranges, Fresh","Produce","","2","Yes","No","Each","$0.61"
"Outdoor Access Point","R & M","","1","No","No","Each","$179.95"
"Outside-In Large Fly Program- Ecolab Pest Elimination","R & M","","1","No","No","Other","$48.47"
"Outside-In Large Fly Program- Ecolab Pest Elimination - YP0803","R & M","","1","No","No","Other","$46.16"
"Overtime Travel","Repairs & Maintenance","","1","No","No","Other","$165.00"
"Oyster Bay Sauvignon Blanc","Wine Cost","","2","No","No","Bottle","$8.50"
"Oyster City Mangrove Pale Ale Keg (1/4BBL)","Beer Cost","","1","No","No","Keg (1/4BBL) 7.75GAL","$129.00"
"Pacifico 12oz Can","Beer Cost","","1","Yes","No","Can","$1.63"
"Papa Sun-Pope Hat","Linens & Uniform Cost","","1","No","No","Each","$9.75"
"Papa Sure 20 Oz Ptd Clear Cup","Paper and Disposables","","1","No","No","1000 Each","$95.00"
"Papa Surf 12 Oz Prt PTD Clear Cup","Paper and Disposables","","1","No","No","1000 Each","$71.50"
"Papa Surf 12 Oz Ptd Clear Cup","Paper and Disposables","","1","No","No","1000 Each","$71.50"
"Papa Surf 20Oz Ptd Clear Cup","Paper and Disposables","","1","No","No","1000 Each","$95.00"
"Papa Surf Burger Bar PTD","Restaurant Supplies","","1","No","No","900 Each","$78.25"
"Papa's Pilar 24Yr Spanish Sherry Cask Solera Dark Rum","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$35.00"
"Papillon 10'X15' Rectangular SS & Stainless Steel Structure/Fitting (Marina Polished)","R & M","","1","No","No","Each","$1,652.40"
"Papillon Gutter/Heather Beige","R & M","","1","No","No","Each","$116.80"
"Parrot Bay Coconut Rum","Liquor Cost","","1","Yes","No","Bottle (Liter)","$8.75"
"Parrot Bay White Rum","Liquor Cost","","1","Yes","No","Bottle (Liter)","$15.79"
"Parsley, Fresh","Produce","","2","No","No","Pound (Pound)","$14.00"
"Paste, Gochujang","Grocery and Dry Goods","","1","Yes","No","Pound","$7.41"
"Paul Sutton Kentucky Bourbon","Liquor Cost","","1","Yes","No","Bottle (750 Milliliters)","$51.00"
"Pecans, Candied","Grocery and Dry Goods","","5","Yes","No","Pound","$13.26"
"Peppers, Green","Produce","","3","Yes","No","Pound","$1.43"
"Peppers, Jalapeno","Produce","","1","No","No","Pound","$1.55"
"Peppers, Jalapeno Sliced","Grocery and Dry Goods","","1","No","No","Gallon","$14.19"
"Peppers, Jommin' Jalapenos","Grocery and Dry Goods","","1","Yes","No","Pound","$5.00"
"Peppers, Poblano","Produce","","1","No","No","Pound","$1.93"
"Peppers, Red","Produce","","2","Yes","No","Pound","$2.61"
"Per 1001788 Controller","Repairs & Maintenance","","1","No","No","Other","$323.05"
"Per 1005668 Probe","Repairs & Maintenance","","1","No","No","Other","$71.54"
"Perfect Plain Yachtside Keg (1/6BBL)","Beer Cost","","1","Yes","No","Keg (1/6BBL) 5.16GAL","$89.00"
"Pest Control Services - Ecolab Pest Elimination","R & M","","1","No","No","Other","$149.76"
"Pet Lids For 20z, 4Oz Souffle","Paper and Disposables","","1","No","No","1000 Each","$25.75"
"Pickles, Dill Chips","Grocery and Dry Goods","","6","Yes","No","Gallon","$9.79"
"Pico De Gallo","Grocery and Dry Goods","","1","No","No","Pound","$4.20"
"Pie, Banana Cheesecake Peanut Butter","Grocery and Dry Goods","","1","Yes","No","Each","$43.20"
"Pie, Fried Apple","Grocery and Dry Goods","","1","Yes","No","Each","$1.28"
"Pie, Fried Blackberry","Grocery and Dry Goods","","1","Yes","No","Each","$1.83"
"Pie, Key Lime","Grocery and Dry Goods","","1","No","No","Slice (Slice)","$5.00"
"Pie, Mini Peach Cobbler","Grocery and Dry Goods","","1","Yes","No","Each","$6.00"
"Pie, Pumpkin","Grocery and Dry Goods","","1","Yes","No","Each","$10.67"
"Pineapple, Sliced","Grocery and Dry Goods","","3","Yes","No","Pound","$12.53"
